City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Pangai,TO,-19.8,-174.35,76.84,89,100,23.26,moderate rain
117,Codrington,AU,-38.2667,141.9667,79.65,38,0,18.61,clear sky
118,Busselton,AU,-33.65,115.3333,69.08,42,49,20.54,scattered clouds
119,Lebu,CL,-37.6167,-73.65,58.28,93,5,13.67,clear sky
120,Kodiak,US,57.79,-152.4072,35.11,48,0,13.8,clear sky
121,Thompson,CA,55.7435,-97.8558,-5.64,77,75,4.61,broken clouds
122,Kurchum,KZ,48.5722,83.6542,11.12,73,1,1.16,clear sky
123,Arlit,NE,18.7369,7.3853,59.5,14,0,8.3,clear sky
124,Canon City,US,38.441,-105.2424,30.18,71,0,1.99,clear sky
125,Port Lincoln,AU,-34.7333,135.8667,79.57,47,1,18.39,clear sky
126,Luba,GQ,3.4568,8.5547,79.05,81,12,1.66,few clouds
127,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,75,75,12.66,mist
128,Saint-Augustin,CA,51.226,-58.6502,-26.09,92,23,4.27,few clouds
129,Arraial Do Cabo,BR,-22.9661,-42.0278,74.86,93,1,14.88,clear sky
130,Nelson Bay,AU,-32.7167,152.15,77.09,63,36,4.0,scattered clouds
131,Huarmey,PE,-10.0681,-78.1522,71.01,80,100,6.15,overcast clouds
132,Boa Vista,BR,2.8197,-60.6733,82.38,65,20,8.05,few clouds
133,Baghdad,IQ,33.3406,44.4009,42.71,65,20,4.61,few clouds
134,Alofi,NU,-19.0595,-169.9187,80.49,89,100,2.3,light intensity drizzle
135,Jamestown,US,42.097,-79.2353,28.71,45,0,8.05,clear sky
136,Bathsheba,BB,13.2167,-59.5167,75.81,83,75,14.97,broken clouds
137,San Cristobal,VE,7.7669,-72.225,69.98,83,63,1.39,broken clouds
138,Vanavara,RU,60.34,102.2797,-2.31,92,100,3.38,overcast clouds
139,Platteville,US,42.7342,-90.4785,23.85,86,100,17.27,overcast clouds
140,Mahebourg,MU,-20.4081,57.7,80.26,77,100,11.3,overcast clouds
141,Avila,ES,40.5833,-5.0,31.64,45,52,3.27,broken clouds
142,Bambous Virieux,MU,-20.3428,57.7575,80.22,78,100,10.87,overcast clouds
143,Fort Nelson,CA,58.8053,-122.7002,17.19,93,20,5.75,few clouds
144,Saint-Joseph,RE,-21.3667,55.6167,82.78,77,88,11.48,overcast clouds
145,Muros,ES,42.7762,-9.0603,50.85,93,23,9.98,few clouds
