City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
103,Manicore,BR,72.73,moderate rain,-5.8092,-61.3003,Hotel Durval
104,Faanui,PF,81.3,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Hobyo,SO,76.66,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
109,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
110,Nacala,MZ,78.71,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
115,Te Anau,NZ,71.38,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
116,Pangai,TO,76.84,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
117,Codrington,AU,79.65,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
125,Port Lincoln,AU,79.57,clear sky,-34.7333,135.8667,Port Lincoln Hotel
126,Luba,GQ,79.05,few clouds,3.4568,8.5547,
129,Arraial Do Cabo,BR,74.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
130,Nelson Bay,AU,77.09,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
131,Huarmey,PE,71.01,overcast clouds,-10.0681,-78.1522,Hotel Miramar
132,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
134,Alofi,NU,80.49,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
136,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
140,Mahebourg,MU,80.26,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Bambous Virieux,MU,80.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
144,Saint-Joseph,RE,82.78,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
148,Burnie,AU,72.95,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
149,Cururupu,BR,74.39,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
151,Santa Isabel Do Rio Negro,BR,71.85,overcast clouds,-0.4139,-65.0192,Hotel GSA
157,Esperance,AU,76.84,few clouds,-33.8667,121.9,Hospitality Esperance
158,Sulangan,PH,81.57,broken clouds,11.1373,123.7228,Maia's Beach Resort
160,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
162,Malindi,KE,77.16,few clouds,-3.2175,40.1191,African House Resort
163,Wanlaweyn,SO,76.12,broken clouds,2.6185,44.8938,GAASHAAN HOME
164,Oistins,BB,75.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
165,Nova Vicosa,BR,75.79,few clouds,-17.8919,-39.3719,Pousada Porto do Sol
169,Hilo,US,70.79,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
170,Nkayi,CG,71.62,overcast clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
172,Soe,ID,79.43,scattered clouds,-9.8607,124.284,Dena Hotel
173,Rantauprapat,ID,84.15,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
174,Carutapera,BR,75.43,overcast clouds,-1.195,-46.02,Lidera
175,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
176,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
180,Nampula,MZ,75.15,scattered clouds,-15.1165,39.2666,Ruby Backpackers
181,Calvinia,ZA,74.48,clear sky,-31.4707,19.776,Die Lemoenhuis
182,Amapa,BR,70.12,overcast clouds,1.0,-52.0,
184,Benguela,AO,76.39,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
187,Sao Joao Da Barra,BR,75.24,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
190,Iquitos,PE,77.04,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
192,Savannah Bight,HN,78.62,clear sky,16.45,-85.85,Villa on Dunbar Rock
193,Sao Felix Do Xingu,BR,70.95,broken clouds,-6.6447,-51.995,Rio Xingu Camping
196,Iguape,BR,75.96,broken clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
199,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
202,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
207,Caravelas,BR,74.91,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
215,Bahia De Caraquez,EC,77.18,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
218,Sao Jose Da Coroa Grande,BR,79.3,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
219,Puerto Escondido,MX,75.33,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
223,Pipri,IN,77.56,broken clouds,19.8,75.5333,Sukhana River nilu and rushi home
227,Alugan,PH,80.53,broken clouds,12.2188,125.4808,JM Lodge
